tbl,Year,quarter,citymarketid_1,citymarketid_2,City1,City2,nsmiles,airportid_1,airportid_2,airport_1,airport_2,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low
Table1a,2014,3,30194,30852,"Dallas/Fort Worth, TX","Washington, DC (Metropolitan Area)",1217,11298,12264,DFW,IAD,462.2826087,331.290736,AA,0.617681636,331.8697754,AA,0.617681636,331.8697754
Table1a,2014,3,30194,30928,"Dallas/Fort Worth, TX","Wichita, KS",333,11259,12278,DAL,ICT,70.65217391,130.7181538,WN,0.986153846,130.6160686,WN,0.986153846,130.6160686
Table1a,2014,3,30194,30928,"Dallas/Fort Worth, TX","Wichita, KS",333,11298,12278,DFW,ICT,107.9347826,166.072004,AA,0.946626385,164.9426596,AA,0.946626385,164.9426596
Table1a,2014,3,30194,30928,"Dallas/Fort Worth, TX","Wichita, KS",333,11298,12278,DFW,ICT,107.9347826,166.072004,AA,0.946626385,164.9426596,UA,0.01611279,206.25625
Table1a,2014,3,30194,30928,"Dallas/Fort Worth, TX","Wichita, KS",333,11298,12278,DFW,ICT,107.9347826,166.072004,AA,0.946626385,164.9426596,US,0.032225579,178.296875
Table1a,2014,3,30194,31123,"Dallas/Fort Worth, TX","St. Louis, MO",550,11259,15016,DAL,STL,525.4347826,211.2837609,WN,0.991104675,211.6434774,WN,0.991104675,211.6434774
Table1a,2014,3,30194,31123,"Dallas/Fort Worth, TX","St. Louis, MO",550,11298,15016,DFW,STL,479.8913043,205.2265912,AA,0.942015855,204.4226016,AA,0.942015855,204.4226016
Table1a,2014,3,30194,31123,"Dallas/Fort Worth, TX","St. Louis, MO",550,11298,15016,DFW,STL,479.8913043,205.2265912,AA,0.942015855,204.4226016,DL,0.01993205,229.9579545
Table1a,2014,3,30194,31123,"Dallas/Fort Worth, TX","St. Louis, MO",550,11298,15016,DFW,STL,479.8913043,205.2265912,AA,0.942015855,204.4226016,US,0.019026048,224.8071429
Table1a,2014,3,30194,31123,"Dallas/Fort Worth, TX","St. Louis, MO",550,11298,15016,DFW,STL,479.8913043,205.2265912,AA,0.942015855,204.4226016,UA,0.011551529,203.2784314
Table1a,2014,3,30194,31136,"Dallas/Fort Worth, TX","Jacksonville, FL",918,11259,12451,DAL,JAX,54.89130435,202.2805941,WN,0.831683168,200.6640476,DL,0.15049505,211.5381579
Table1a,2014,3,30194,31136,"Dallas/Fort Worth, TX","Jacksonville, FL",918,11298,12451,DFW,JAX,380.7608696,258.1685698,AA,0.683414216,270.3749373,AA,0.683414216,270.3749373
Table1a,2014,3,30194,31267,"Dallas/Fort Worth, TX","Dayton, OH",861,11259,11267,DAL,DAY,4.782608696,224.6545455,WN,0.5,213.4636364,DL,0.431818182,238.9210526
Table1a,2014,3,30194,31267,"Dallas/Fort Worth, TX","Dayton, OH",861,11298,11267,DFW,DAY,263.4782609,257.2933168,AA,0.745049505,253.7332226,DL,0.099422442,256.4804979
Table1a,2014,3,30194,31267,"Dallas/Fort Worth, TX","Dayton, OH",861,11298,11267,DFW,DAY,263.4782609,257.2933168,AA,0.745049505,253.7332226,US,0.091171617,255.8239819
Table1a,2014,3,30194,31267,"Dallas/Fort Worth, TX","Dayton, OH",861,11298,11267,DFW,DAY,263.4782609,257.2933168,AA,0.745049505,253.7332226,UA,0.045792079,261.0864865
Table1a,2014,3,30194,31267,"Dallas/Fort Worth, TX","Dayton, OH",861,11298,11267,DFW,DAY,263.4782609,257.2933168,AA,0.745049505,253.7332226,AA,0.745049505,253.7332226
Table1a,2014,3,30194,31295,"Dallas/Fort Worth, TX","Detroit, MI",986,11259,11433,DAL,DTW,62.17391304,257.6157343,WN,0.90034965,251.168932,WN,0.90034965,251.168932
Table1a,2014,3,30194,31295,"Dallas/Fort Worth, TX","Detroit, MI",986,11259,11433,DAL,DTW,62.17391304,257.6157343,WN,0.90034965,251.168932,DL,0.036713287,382.7285714
