tbl,Date,origin_cty,dest_cty,origin_apt,dest_apt,distance,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low
Table 1a,200104,11160,18500,BIS,MDW,730,5.54,271.62,NW,92.15,266.46,NW,92.15,266.46
Table 1a,200104,11160,18500,BIS,ORD,716,16.95,302.95,NW,84.61,306.4,UA,14.74,291.47
Table 1a,200104,11420,96460,BMI,DCA,643,8.47,165.05,AA,52.56,147.97,NW,19.23,136.53
Table 1a,200104,11420,23210,BMI,DFW,690,39.56,177.36,AA,37.08,162.92,FL,29.39,147.75
Table 1a,200104,11420,63760,BMI,EWR,775,16.63,144.43,AA,44.44,123.17,AA,44.44,123.17
Table 1a,200104,11420,37320,BMI,HOU,829,9.34,141.95,FL,93.02,133.33,FL,93.02,133.33
Table 1a,200104,11420,96460,BMI,IAD,620,11.41,150.03,FL,33.33,140.42,NW,27.61,135.17
Table 1a,200104,11420,37320,BMI,IAH,809,9.45,170.78,UA,33.33,138.37,UA,33.33,138.37
Table 1a,200104,11420,63760,BMI,JFK,796,3.36,146.83,TW,35.48,185,AA,22.58,104.71
Table 1a,200104,11420,63760,BMI,LGA,791,23.36,154.85,AA,53.95,145.56,NW,11.62,133.56
Table 1a,200104,11420,87870,BMI,TPA,936,42.93,145.83,FL,69.87,148.47,TW,10.88,135.16
Table 1a,200104,62860,96460,BNA,DCA,562,41.73,219.92,US,54.42,212.5,US,54.42,212.5
Table 1a,200104,62860,63760,BNA,EWR,747,238.69,240.58,CO,66.48,284.74,NW,14.89,84.61
Table 1a,200104,62860,96460,BNA,IAD,542,27.93,230.45,DL,42.02,257.7,US,29.57,230.6
Table 1a,200104,62860,63760,BNA,JFK,766,5.76,267.5,AA,33.96,267.38,AA,33.96,267.38
Table 1a,200104,62860,63760,BNA,LGA,764,277.71,245.23,AA,69.23,252.02,DL,22.15,225.97
Table 1a,200104,62860,87870,BNA,TPA,612,477.06,102.56,WN,84.52,100.3,TW,1.32,59.27
Table 1a,200104,11800,23210,BOI,DAL,1282,1.41,319.3,WN,100,319.3,WN,100,319.3
Table 1a,200104,11800,96460,BOI,DCA,2049,10.32,270.74,UA,41.05,243.82,UA,41.05,243.82
Table 1a,200104,11800,23210,BOI,DFW,1272,58.91,235.9,DL,49.07,245.16,UA,36.34,244.98
Table 1a,200104,11800,63760,BOI,EWR,2147,31.63,237.39,DL,37.8,184.66,DL,37.8,184.66
Table 1a,200104,11800,37320,BOI,HOU,1501,13.47,165.99,WN,88.7,159.7,WN,88.7,159.7
Table 1a,200104,11800,96460,BOI,IAD,2025,23.47,326.18,UA,52.77,382.89,DL,24.07,264.42
Table 1a,200104,11800,37320,BOI,IAH,1482,31.19,220.15,UA,33.79,252.54,HP,16.37,173.31
Table 1a,200104,11800,63760,BOI,JFK,2168,11.3,236.52,DL,76.92,211.75,AS,1.92,208
Table 1a,200104,11800,63760,BOI,LGA,2159,13.26,416.93,UA,67.21,453.93,NW,18.85,395.95
Table 1a,200104,11800,18500,BOI,MDW,1448,16.41,195.35,WN,85.43,183.64,WN,85.43,183.64
Table 1a,200104,11800,18500,BOI,ORD,1437,84.13,261.48,UA,71.83,275.96,DL,12.79,225.27
Table 1a,200104,11800,87870,BOI,TPA,2155,19.89,230.8,UA,30.05,197.1,UA,30.05,197.1
Table 1a,200104,12200,23210,BOS,DAL,1555,8.69,152.85,CO,56.25,75.33,CO,56.25,75.33
Table 1a,200104,12200,96460,BOS,DCA,399,1422.5,148.94,US,89.6,149.09,US,89.6,149.09
Table 1a,200104,12200,23210,BOS,DFW,1562,955.54,250.52,AA,63.74,280.6,DL,23.23,193.11
Table 1a,200104,12200,37320,BOS,EFD,1605,3.26,234.4,CO,93.33,243.92,CO,93.33,243.92
Table 1a,200104,12200,63760,BOS,EWR,200,720.43,186.3,CO,80.46,193.83,AA,11.25,142.45
Table 1a,200104,12200,37320,BOS,HOU,1609,54.23,183.21,DL,52.9,191.38,AA,11.22,162.19
Table 1a,200104,12200,96460,BOS,IAD,413,670.1,169.28,UA,81.6,168.5,UA,81.6,168.5
Table 1a,200104,12200,37320,BOS,IAH,1597,519.34,274.87,CO,76.51,289.58,NW,2.82,112.47
Table 1a,200104,12200,63760,BOS,JFK,186,105.97,130.92,AA,68.51,128.95,AA,68.51,128.95
Table 1a,200104,12200,63760,BOS,LGA,185,2291.73,118.4,DL,59.18,119.6,US,40.76,116.35
Table 1a,200104,12200,18500,BOS,MDW,861,181.73,126.49,TZ,89.29,124.59,TZ,89.29,124.59
Table 1a,200104,12200,18500,BOS,ORD,867,1588.04,178.56,UA,51.23,171.24,UA,51.23,171.24
Table 1a,200104,12200,87870,BOS,PIE,1193,0.1,514,TZ,100,514,TZ,100,514
Table 1a,200104,12200,87870,BOS,TPA,1185,728.69,130.37,DL,61.09,131.61,US,25.88,121.43
Table 1a,200104,9130,23210,BPT,DAL,260,1.41,107.15,CO,100,107.15,CO,100,107.15
Table 1a,200104,9130,23210,BPT,DFW,270,67.17,99.48,AA,96.44,99.06,AA,96.44,99.06
Table 1a,200104,9130,63760,BPT,EWR,1339,5.54,260,CO,72.54,260.75,AA,25.49,212
Table 1a,200104,9130,63760,BPT,JFK,1356,0.21,141.5,AA,50,142,AA,50,142
Table 1a,200104,9130,63760,BPT,LGA,1355,5.21,233.12,CO,58.33,203.71,CO,58.33,203.71
Table 1a,200104,9130,18500,BPT,MDW,888,0.76,178.71,AA,100,178.71,AA,100,178.71
Table 1a,200104,9130,18500,BPT,ORD,896,9.56,217.26,CO,57.95,226.27,AA,32.95,218.79
Table 1a,200104,13260,37320,BRO,EFD,290,0.21,34,CO,100,34,CO,100,34
Table 1a,200104,13260,37320,BRO,IAH,308,46.84,75.17,CO,97.67,75.23,CO,97.67,75.23
Table 1a,200104,13260,18500,BRO,ORD,1233,13.8,222.62,CO,90.55,204.6,CO,90.55,204.6
Table 1a,200104,8860,23210,BTR,DAL,372,1.73,136.43,CO,100,136.43,CO,100,136.43
Table 1a,200104,8860,96460,BTR,DCA,986,37.71,166.84,DL,46.97,179,US,21.32,139.2
Table 1a,200104,8860,23210,BTR,DFW,383,126.3,125.54,DL,52.92,126.54,AA,44.49,124.8
