Year,Quarter,origin_cty,dest_cty,origin_apt,dest_apt,distance,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low
2012,2,30154,31703,ACK,JFK,199,99.12,146.57,B6,73.6,148.24,DL,23.4,129.46
2012,2,30154,31703,ACK,LGA,202,0.66,330.17,,0,0,,0,9999
2012,2,30155,30852,ACT,BWI,1269,7.03,278.26,AA,68.8,286.89,UA,26.6,243.2
2012,2,30155,30852,ACT,DCA,1243,5.49,390.56,AA,76,406.22,UA,16,317.98
2012,2,30155,30852,ACT,IAD,1223,0.99,398.13,AA,77.8,319.32,AA,77.8,319.32
2012,2,30155,32575,ACT,LAX,1241,7.25,281.9,AA,74.2,283.25,UA,21.2,282.58
2012,2,30155,32457,ACT,OAK,1479,0.22,667.47,,0,0,,0,9999
2012,2,30155,32575,ACT,ONT,1195,2.31,414.06,AA,76.2,380.56,AA,76.2,380.56
2012,2,30155,32457,ACT,SFO,1486,7.69,226.59,AA,68.6,223.68,UA,27.1,207.9
2012,2,30155,32457,ACT,SJC,1460,2.2,320.38,AA,80,308.1,AA,80,308.1
2012,2,30155,32575,ACT,SNA,1210,6.37,238.58,AA,67.2,227.62,AA,67.2,227.62
2012,2,30157,32575,ACV,BUR,564,5.27,350.62,UA,100,350.62,UA,100,350.62
2012,2,30157,31703,ACV,EWR,2581,5.16,448.89,UA,95.7,436.51,UA,95.7,436.51
2012,2,30157,31703,ACV,JFK,2601,3.3,385.51,UA,73.3,409.41,UA,73.3,409.41
2012,2,30157,32575,ACV,LAX,577,27.14,352.51,UA,93.1,354.56,UA,93.1,354.56
2012,2,30157,31703,ACV,LGA,2594,1.76,343.51,UA,56.3,333.59,UA,56.3,333.59
2012,2,30157,32575,ACV,ONT,596,8.68,250.6,UA,98.7,251.87,UA,98.7,251.87
2012,2,30157,32457,ACV,SFO,250,34.95,237.34,UA,100,237.34,UA,100,237.34
2012,2,30157,32575,ACV,SNA,609,10.66,302.14,UA,96.9,304.22,UA,96.9,304.22
2012,2,30158,30721,ACY,BOS,274,78.9,66.73,NK,100,66.73,NK,100,66.73
2012,2,30158,30194,ACY,DFW,1330,10.88,169.69,NK,100,169.69,NK,100,169.69
2012,2,30158,32467,ACY,FLL,977,639.89,110.38,NK,100,110.38,NK,100,110.38
2012,2,30158,30977,ACY,ORD,720,80.88,92.47,NK,100,92.47,NK,100,92.47
2012,2,30158,33195,ACY,TPA,913,196.48,89.33,NK,100,89.33,NK,100,89.33
2012,2,30185,30721,AEX,BOS,1409,11.54,267.14,DL,36.2,336.64,AA,35.2,198.2
2012,2,30185,32575,AEX,BUR,1512,0.11,325.02,UA,100,325.02,UA,100,325.02
2012,2,30185,30852,AEX,BWI,1046,21.1,300.36,DL,60.4,338.02,UA,17.2,229.05
2012,2,30185,30194,AEX,DAL,273,0.22,499,UA,100,499,UA,100,499
2012,2,30185,30852,AEX,DCA,1018,15.71,347.71,DL,57.3,378.68,UA,23.1,279.05
2012,2,30185,30194,AEX,DFW,285,21.32,205.15,AA,96.9,204.97,AA,96.9,204.97
2012,2,30185,31703,AEX,EWR,1212,8.9,294.84,UA,58,280.72,UA,58,280.72
2012,2,30185,32467,AEX,FLL,834,9.78,211.23,UA,52.8,206.54,UA,52.8,206.54
2012,2,30185,31703,AEX,HPN,1245,0.22,209.98,DL,100,209.98,DL,100,209.98
2012,2,30185,30852,AEX,IAD,1001,4.84,403.2,DL,45.5,443.58,AA,31.8,341.27
2012,2,30185,31453,AEX,IAH,190,13.96,268.71,UA,100,268.71,UA,100,268.71
2012,2,30185,31703,AEX,ISP,1265,0.22,987.57,,0,0,,0,9999
2012,2,30185,31703,AEX,JFK,1228,1.43,322.15,DL,76.9,315.86,DL,76.9,315.86
2012,2,30185,32575,AEX,LAX,1515,11.87,355.06,AA,47.2,349.29,AA,47.2,349.29
2012,2,30185,31703,AEX,LGA,1228,15.49,273.8,DL,38.3,293.86,AA,23.4,229.69
2012,2,30185,30977,AEX,MDW,769,0.88,303.13,DL,100,303.13,DL,100,303.13
